source_filename,location,material_id,previous_month,new_month,previous_closing,new_opening
location-09.xlsx,LOC-09,MAT-002,2026-09-01,2026-10-01,200,200
location-09.xlsx,LOC-09,MAT-003,2026-09-01,2026-10-01,202,202
location-09.xlsx,LOC-09,MAT-004,2026-09-01,2026-10-01,204,204
location-09.xlsx,LOC-09,MAT-005,2026-09-01,2026-10-01,206,206
location-09.xlsx,LOC-09,MAT-006,2026-09-01,2026-10-01,208,208
location-09.xlsx,LOC-09,MAT-007,2026-09-01,2026-10-01,210,210
location-09.xlsx,LOC-09,MAT-008,2026-09-01,2026-10-01,212,212
location-10.xlsx,LOC-10,MAT-001,2026-09-01,2026-10-01,207,207
location-10.xlsx,LOC-10,MAT-002,2026-09-01,2026-10-01,209,209
location-10.xlsx,LOC-10,MAT-003,2026-09-01,2026-10-01,211,211
location-10.xlsx,LOC-10,MAT-004,2026-09-01,2026-10-01,213,213
location-10.xlsx,LOC-10,MAT-005,2026-09-01,2026-10-01,215,215
location-10.xlsx,LOC-10,MAT-006,2026-09-01,2026-10-01,217,217
location-10.xlsx,LOC-10,MAT-007,2026-09-01,2026-10-01,219,219
location-10.xlsx,LOC-10,MAT-008,2026-09-01,2026-10-01,221,221
location-11.xlsx,LOC-11,MAT-001,2026-09-01,2026-10-01,216,216
location-11.xlsx,LOC-11,MAT-002,2026-09-01,2026-10-01,218,218
location-11.xlsx,LOC-11,MAT-003,2026-09-01,2026-10-01,220,220
location-11.xlsx,LOC-11,MAT-004,2026-09-01,2026-10-01,222,222
location-11.xlsx,LOC-11,MAT-005,2026-09-01,2026-10-01,224,224
location-11.xlsx,LOC-11,MAT-006,2026-09-01,2026-10-01,226,226
location-11.xlsx,LOC-11,MAT-007,2026-09-01,2026-10-01,228,228
location-11.xlsx,LOC-11,MAT-008,2026-09-01,2026-10-01,230,230
location-12.xlsx,LOC-12,MAT-001,2026-09-01,2026-10-01,225,225
location-12.xlsx,LOC-12,MAT-002,2026-09-01,2026-10-01,227,227
location-12.xlsx,LOC-12,MAT-003,2026-09-01,2026-10-01,229,229
location-12.xlsx,LOC-12,MAT-004,2026-09-01,2026-10-01,231,231
location-12.xlsx,LOC-12,MAT-005,2026-09-01,2026-10-01,233,233
location-12.xlsx,LOC-12,MAT-006,2026-09-01,2026-10-01,235,235
location-12.xlsx,LOC-12,MAT-007,2026-09-01,2026-10-01,237,237
location-12.xlsx,LOC-12,MAT-008,2026-09-01,2026-10-01,239,239
